Date,Open,High,Low,Close,Adj Close,Volume
2015-10-02,52.750000,53.150002,52.750000,53.150002,36.548756,700
2015-10-05,53.840000,54.000000,53.790001,53.790001,36.988857,1700
2015-10-06,54.750000,54.900002,54.450001,54.450001,37.442707,2000
2015-10-07,55.509998,55.610001,55.400002,55.500000,38.164742,2200
2015-10-08,56.480000,56.849998,56.480000,56.849998,39.093071,400
2015-10-09,58.000000,58.009998,57.689999,57.689999,39.670704,2500
2015-10-12,57.000000,57.000000,56.570000,56.570000,38.900532,10400
2015-10-13,56.580002,56.580002,56.560001,56.560001,38.893658,400
2015-10-14,56.549999,56.549999,55.950001,56.250000,38.680481,11300
2015-10-15,57.040001,57.040001,57.020000,57.020000,39.209972,400
2015-10-16,57.020000,57.020000,57.020000,57.020000,39.209972,0
2015-10-19,56.900002,56.900002,56.900002,56.900002,39.127457,400
2015-10-20,57.290001,57.560001,57.110001,57.560001,39.581306,700
2015-10-21,58.000000,58.000000,57.849998,57.849998,39.780727,800
2015-10-22,57.119999,57.560001,57.119999,57.310001,39.409397,1300
2015-10-23,57.740002,57.820000,57.419998,57.560001,39.581306,1400
2015-10-26,58.200001,58.459999,58.200001,58.459999,40.200195,500
2015-10-27,58.419998,58.419998,58.419998,58.419998,40.172688,300
2015-10-28,58.349998,58.349998,57.669998,57.799999,39.746342,4100
2015-10-29,57.799999,57.799999,57.799999,57.799999,39.746342,0
2015-10-30,58.400002,58.400002,58.299999,58.299999,40.090168,500
2015-11-02,59.150002,59.669998,59.150002,59.369999,40.825958,3300
2015-11-03,58.360001,58.740002,58.099998,58.740002,40.392742,1700
2015-11-04,57.160000,57.160000,56.790001,56.790001,39.051811,900
2015-11-05,60.230000,60.680000,60.020000,60.020000,41.272938,1900
2015-11-06,60.090000,60.090000,60.090000,60.090000,41.321064,3900
2015-11-09,60.270000,60.380001,60.070000,60.380001,41.520493,2900
2015-11-10,60.250000,60.250000,60.250000,60.250000,41.431091,200
2015-11-11,60.630001,60.849998,60.509998,60.509998,41.609886,73100
2015-11-12,60.610001,60.880001,60.610001,60.880001,41.864311,800
2015-11-13,59.840000,60.470001,59.790001,60.099998,41.327946,7600
2015-11-16,61.000000,61.860001,60.959999,61.860001,42.538216,1900
2015-11-17,61.730000,61.939999,61.730000,61.939999,42.593227,1000
2015-11-18,61.889999,62.400002,61.689999,62.400002,42.909550,4300
2015-11-19,62.389999,62.389999,62.049999,62.049999,42.668869,4300
2015-11-20,61.849998,61.860001,61.849998,61.860001,42.538216,1000
2015-11-23,61.810001,61.990002,61.360001,61.599998,42.359425,1700
2015-11-24,62.000000,62.049999,61.910000,62.049999,42.668869,1600
2015-11-25,62.360001,62.869999,62.360001,62.689999,43.108967,600
2015-11-27,63.990002,64.430000,63.990002,64.120003,44.092312,1900
2015-11-30,65.180000,65.339996,64.849998,65.099998,44.766209,1500
2015-12-01,65.410004,65.419998,65.019997,65.419998,44.986259,1700
2015-12-02,65.290001,65.519997,65.279999,65.389999,44.965633,2700
2015-12-03,66.099998,66.839996,66.099998,66.580002,45.783939,3200
2015-12-04,66.239998,66.800003,66.239998,66.800003,45.935223,1900
2015-12-07,66.690002,66.690002,66.339996,66.339996,45.618896,6100
2015-12-08,67.000000,67.000000,67.000000,67.000000,46.072750,200
2015-12-09,66.779999,67.500000,66.430000,66.449997,45.694538,11600
2015-12-10,66.330002,66.330002,66.330002,66.330002,45.612022,3200
2015-12-11,64.769997,64.769997,64.730003,64.730003,44.511780,700
2015-12-14,65.750000,65.750000,65.750000,65.750000,45.213184,300
2015-12-15,66.610001,66.980003,66.400002,66.400002,45.660160,1500
2015-12-16,69.949997,70.500000,69.459999,70.500000,48.479538,15100
2015-12-17,70.010002,70.099998,69.370003,70.099998,48.204475,6200
2015-12-18,69.410004,69.459999,69.410004,69.449997,47.757496,3500
2015-12-21,69.830002,69.830002,69.000000,69.000000,47.448055,3700
2015-12-22,69.250000,69.660004,69.250000,69.519997,47.805634,3500
2015-12-23,69.699997,70.000000,69.699997,70.000000,48.135712,11300
2015-12-24,70.000000,70.000000,70.000000,70.000000,48.135712,0
2015-12-28,70.000000,70.349998,69.820000,70.349998,48.376389,6500
2015-12-29,70.839996,70.970001,70.650002,70.730003,48.637695,6600
2015-12-30,70.730003,70.730003,70.730003,70.730003,48.637695,0
2015-12-31,70.489998,70.489998,70.330002,70.330002,48.362637,1900
2016-01-04,69.980003,69.980003,69.099998,69.550003,47.826267,2000
2016-01-05,69.080002,69.080002,68.129997,68.129997,46.849796,1400
2016-01-06,66.970001,67.650002,66.970001,67.650002,46.519726,3400
2016-01-07,66.150002,66.650002,66.110001,66.110001,45.460739,5800
2016-01-08,65.540001,65.930000,65.370003,65.370003,44.951878,15000
2016-01-11,64.910004,65.190002,63.950001,64.260002,44.188583,5500
2016-01-12,66.000000,66.000000,65.440002,65.449997,45.006886,2200
2016-01-13,66.300003,66.330002,64.000000,64.019997,44.023544,7300
2016-01-14,64.330002,64.800003,63.700001,64.800003,44.559917,2000
2016-01-15,60.349998,60.500000,59.130001,59.250000,40.743443,8200
2016-01-19,63.930000,64.620003,63.930000,64.120003,44.092312,17600
2016-01-20,63.130001,63.130001,61.560001,62.349998,42.875164,4400
2016-01-21,60.759998,61.270000,60.299999,61.099998,42.015598,23100
2016-01-22,62.500000,62.500000,62.020000,62.380001,42.895798,1500
2016-01-25,62.700001,62.990002,62.439999,62.930000,43.274002,1600
2016-01-26,63.340000,63.799999,63.340000,63.700001,43.803497,3900
2016-01-27,64.269997,64.269997,64.050003,64.050003,44.044178,900
2016-01-28,63.230000,64.000000,63.230000,64.000000,44.009792,1600
2016-01-29,65.349998,65.349998,65.099998,65.349998,44.938122,1000
2016-02-01,65.570000,65.570000,64.949997,65.220001,44.848728,1300
2016-02-02,64.129997,64.129997,62.799999,62.820000,43.198364,9400
2016-02-03,63.020000,63.910000,63.020000,63.880001,43.927277,1400
2016-02-04,63.320000,63.549999,62.549999,62.549999,43.012691,3900
2016-02-05,63.290001,63.380001,62.790001,62.790001,43.177734,1500
2016-02-08,58.639999,58.639999,56.150002,56.150002,38.611717,7100
2016-02-09,59.130001,62.810001,59.099998,62.810001,43.191483,6600
2016-02-10,64.599998,64.900002,63.730000,63.730000,43.824123,3000
2016-02-11,63.520000,64.150002,63.520000,64.150002,44.112942,300
2016-02-12,62.680000,62.680000,62.020000,62.020000,42.648239,500
2016-02-16,64.279999,64.870003,64.279999,64.839996,44.587418,2500
2016-02-17,65.529999,65.889999,65.529999,65.889999,45.309456,800
2016-02-18,66.879997,66.949997,66.000000,66.000000,45.385098,2400
2016-02-19,65.699997,65.750000,65.699997,65.750000,45.213184,1300
2016-02-22,66.669998,66.760002,66.669998,66.760002,45.907715,800
2016-02-23,68.639999,68.860001,68.010002,68.019997,46.774158,1200
2016-02-24,66.000000,66.650002,66.000000,66.650002,45.832073,800
2016-02-25,67.800003,67.800003,67.800003,67.800003,46.622871,300
2016-02-26,67.209999,67.379997,67.209999,67.379997,46.334057,400
2016-02-29,67.790001,67.800003,67.550003,67.599998,46.485340,800
2016-03-01,68.529999,69.709999,68.529999,69.379997,47.709366,5700
2016-03-02,68.300003,68.309998,67.820000,68.300003,46.966702,900
2016-03-03,68.699997,68.900002,68.699997,68.900002,47.379295,400
2016-03-04,68.650002,68.650002,68.650002,68.650002,47.207378,4400
2016-03-07,67.110001,67.800003,67.110001,67.699997,46.554108,1700
2016-03-08,66.809998,66.809998,66.209999,66.209999,45.529503,700
2016-03-09,66.199997,66.199997,66.199997,66.199997,45.522625,100
2016-03-10,67.190002,67.190002,65.150002,65.150002,44.800594,2500
2016-03-11,67.650002,67.650002,67.449997,67.589996,46.478466,800
2016-03-14,67.959999,67.989998,67.629997,67.989998,46.753529,2000
2016-03-15,67.209999,67.750000,67.209999,67.290001,46.272167,2100
2016-03-16,67.199997,68.800003,67.199997,68.800003,47.310528,1600
2016-03-17,70.389999,71.620003,70.370003,71.349998,49.064041,6200
2016-03-18,69.699997,70.580002,69.699997,70.580002,48.534550,24700
2016-03-21,69.510002,70.290001,69.510002,69.849998,48.032558,4800
2016-03-22,69.750000,70.220001,69.720001,70.220001,48.286995,5700
2016-03-23,69.959999,69.959999,69.550003,69.580002,47.846897,1400
2016-03-24,69.400002,69.400002,69.300003,69.300003,47.654354,6200
2016-03-28,69.110001,69.589996,69.110001,69.589996,47.853767,1100
2016-03-29,68.129997,69.870003,68.129997,69.870003,48.046318,1400
2016-03-30,71.379997,71.790001,71.160004,71.750000,49.339104,1300
2016-03-31,71.000000,71.099998,70.849998,71.099998,54.027569,1100
2016-04-01,70.389999,70.389999,70.389999,70.389999,53.488052,200
2016-04-04,70.750000,70.750000,70.400002,70.440002,53.526051,2400
2016-04-05,69.500000,69.500000,69.500000,69.500000,52.811764,1000
2016-04-06,70.000000,70.470001,70.000000,70.470001,53.548847,1000
2016-04-07,69.150002,69.349998,68.639999,68.639999,52.158260,8100
2016-04-08,70.199997,70.529999,70.199997,70.529999,53.594437,400
